symbol_key,MaxOpen,MinOpen,AverageOpen,MaxClose,MinClose,AverageClose,MaxHigh,MinHigh,AverageHigh,MaxLow,MinLow,AverageLow,MaxVolume,MinVolume,AverageVolume
0,4730.0,27.0,709.989926498306,4714.6,27.5,709.4844986807403,4754.95,28.8,723.3128156803606,4559.9,27.0,696.430767056161,33276611,200,1172596.481530343
1,660.0,21.0,163.68522489539748,656.2,22.15,163.1262029288703,678.8,23.7,167.23190376569042,648.0,21.0,159.52445083682005,5391614,2850,287949.9163179916
2,3298.0,205.5,1012.6023746701877,3220.85,203.2,1011.3168394270622,3298.0,219.5,1026.8238032416186,3141.3,197.15,996.8869770071573,65230894,52820,5583027.542404825
3,9966.0,164.0,2927.8730743166907,9832.45,164.3,2925.005093742942,9996.4,168.7,2962.918432346959,9725.0,155.0,2889.1280664106616,35164283,22796,1194660.7969279422
4,2034.4,290.0,824.7030200353564,2023.35,281.4,824.0588980553913,2043.05,296.7,838.289702416025,2002.6,278.25,809.9505450795511,120541914,29478,6916522.365939894
5,6918.0,340.0,1690.1730537229046,6900.15,336.35,1688.4923468425964,6934.35,347.7,1713.5271347785142,6831.7,295.2,1665.6792931196942,5383773,84,122088.32478793591
